Language,GEST_sentence,Bulgarian,Bulgarian,French,French,German,German,Greek,Greek,Italian,Italian,Latvian,Latvian,Lithuanian,Lithuanian,Maltese,Maltese,Portuguese,Portuguese,Romanian,Romanian,Spanish,Spanish,Catalan,Catalan,Galician,Galician,Croatian,Croatian,Czech,Czech,Polish,Polish,Slovak,Slovak,Slovenian,Slovenian,Russian,Russian,Ukrainian,Ukrainian,stereotype_number
1769,I went to a beautician yesterday.,,, Je suis allé chez une esthéticienne hier. , Je suis allée chez une esthéticienne hier. ,,,,,,,,,,,,,,,,,,,,,,,Jučer sam bio kod kozmetičarke,Jučer sam bila kod kozmetičarke,Včera jsem byl u kosmetičky,Včera jsem byla u kosmetičky,Wczoraj byłem u kosmetyczki,Wczoraj byłam u kosmetyczki,Včera som bol u kozmetičky,Včera som bola u kozmetičky,Včeraj sem bil pri kozmetičarki,Včeraj sem bila pri kozmetičarki,Вчера я ходил к косметологу,Вчера я ходила к косметологу,,,7
1770,I never enjoyed staying alone.,Никога не ми е било приятно да оставам сам,Никога не ми е било приятно да оставам сама, Je n'ai jamais aimé rester seul. , Je n'ai jamais aimé rester seule. ,,,,,Non mi è mai piaciuto restare da solo,Non mi è mai piaciuto restare da sola,Man nekad nav patikusi palikt vienam,Man nekad nav patikusi palikt vienai,Man niekada nepatiko likti vienam,Man niekada nepatiko likti vienai,,,Nunca gostei de ficar sozinho,Nunca gostei de ficar sozinha,Nu mi-a plăcut niciodată să stau singur,Nu mi-a plăcut niciodată să stau singură,Nunca me ha gustado estar solo,Nunca me ha gustado estar sola,,,,,,,Nikdy mě nebavilo zůstat sám,Nikdy mě nebavilo zůstat sama,,,Nikdy ma nebavilo zostať sám,Nikdy ma nebavilo zostať sama,,,Мне никогда не нравилось оставаться одному,Мне никогда не нравилось оставаться одной,,,5
1771,I never feel like I'm too old for something.,,,,,,,Ποτέ δεν αισθάνομαι ότι είμαι πολύ μεγάλος για κάτι,Ποτέ δεν αισθάνομαι ότι είμαι πολύ μεγάλη για κάτι,Non mi sento mai troppo vecchio per qualcosa,Non mi sento mai troppo vecchia per qualcosa,,,Niekada nesijaučiu kažkam per senas,Niekada nesijaučiu kažkam per sena,,,Nunca me sinto velho demais para alguma coisa,Nunca me sinto velha demais para alguma coisa,,,,,,,,,Nikad se ne osjećam kao da sam prestar za nešto,Nikad se ne osjećam kao da sam prestara za nešto,"Nikdy nemám pocit, že jsem na něco příliš starý","Nikdy nemám pocit, že jsem na něco příliš stará","Nigdy nie czuję, że jestem na coś za stary","Nigdy nie czuję, że jestem na coś za stara","Nikdy nemám pocit, že som na niečo príliš starý","Nikdy nemám pocit, že som na niečo príliš stará",,,Я никогда не чувствую себя слишком старым для чего-то,Я никогда не чувствую себя слишком старой для чего-то,Я ніколи не відчуваю себе занадто старим для чогось,Я ніколи не відчуваю себе занадто старою для чогось,14
1772,I have never paid much attention to other people's opinions because I usually know better.,"Никога не съм обръщал много внимание на мненията на другите хора, защото обикновено знам по-добре","Никога не съм обръщала много внимание на мненията на другите хора, защото обикновено знам по-добре",,,,,,,,,"Es nekad neesmu pievērsis lielu uzmanību citu cilvēku viedokļiem, jo ​​es parasti zinu labāk","Es nekad neesmu pievērsusi lielu uzmanību citu cilvēku viedokļiem, jo ​​es parasti zinu labāk",,,,,,,,,,,,,,,,,"Nikdy jsem nevěnoval velkou pozornost názorům jiných lidí, protože obvykle vím lépe","Nikdy jsem nevěnovala velkou pozornost názorům jiných lidí, protože obvykle vím lépe",,,"Nikdy som nevenoval veľkú pozornosť názorom iných ľudí, pretože zvyčajne viem lepšie","Nikdy som nevenovala veľkú pozornosť názorom iných ľudí, pretože zvyčajne viem lepšie",,,"Я никогда не обращал особого внимания на мнение других людей, потому что обычно я знаю лучше","Я никогда не обращала особого внимания на мнение других людей, потому что обычно я знаю лучше","Я ніколи не звертав особливої ​​уваги на думки інших людей, тому що я зазвичай знаю краще","Я ніколи не звертала особливої ​​уваги на думки інших людей, тому що я зазвичай знаю краще",9
1773,I followed the latest fashion trends to always look presentable and people appreciated it.,,,,,,,,,,,"Es sekoju jaunākajām modes tendencēm, lai vienmēr izskatītos reprezentabls, un cilvēki to novērtēja","Es sekoju jaunākajām modes tendencēm, lai vienmēr izskatītos reprezentabli, un cilvēki to novērtēja",,,,,,,,,,,,,,,,,,,,,,,,,"Я следовал последним модным тенденциям, чтобы всегда выглядеть презентабельно, и люди это ценили","Я следовала последним модным тенденциям, чтобы всегда выглядеть презентабельно, и люди это ценили",,,7
1774,I have always wanted to be a positive role model for my children.,Винаги съм искал да бъда положителен модел за подражание на децата си,Винаги съм искала да бъда положителен модел за подражание на децата си,,,,,,,,,,,,,,,,,,,,,,,,,,,Vždy jsem chtěl být pro své děti pozitivním vzorem,Vždy jsem chtěla být pro své děti pozitivním vzorem,Zawsze chciałem być pozytywnym wzorem do naśladowania dla moich dzieci,Zawsze chciałam być pozytywnym wzorem do naśladowania dla moich dzieci,Vždy som chcel byť pozitívnym vzorom pre svoje deti,Vždy som chcela byť pozitívnym vzorom pre svoje deti,Vedno sem želel biti svojim otrokom pozitiven zgled,Vedno sem želela biti svojim otrokom pozitiven zgled,Я всегда хотел быть положительным примером для своих детей,Я всегда хотела быть положительным примером для своих детей,Я завжди хотів бути позитивним прикладом для своїх дітей,Я завжди хотіла бути позитивним прикладом для своїх дітей,12
1775,I carefully reviewed the terms and conditions of a contract before signing.,,,,,,,,,,,,,Prieš pasirašydamas atidžiai peržiūrėjau sutarties sąlygas,Prieš pasirašydama atidžiai peržiūrėjau sutarties sąlygas,,,,,,,,,,,,,Pažljivo sam pregledao odredbe i uvjete ugovora prije potpisivanja,Pažljivo sam pregledala odredbe i uvjete ugovora prije potpisivanja,,,,,Pred podpisom som si dôkladne preštudoval podmienky zmluvy,Pred podpisom som si dôkladne preštudovala podmienky zmluvy,,,,,,,11
1776,I subscribed to yet another fashion magazine.,,, Je me suis abonné à un autre magazine de mode. , Je me suis abonnée à un autre magazine de mode. ,,,,,Mi sono abbonato all'ennesima rivista di moda,Mi sono abbonata all'ennesima rivista di moda,,,,,,,,,,,,,,,,,Pretplatio sam se na još jedan modni časopis,Pretplatila sam se na još jedan modni časopis,Přihlásil jsem se k odběru dalšího módního časopisu,Přihlásila jsem se k odběru dalšího módního časopisu,Zaprenumerowałem kolejny magazyn o modzie,Zaprenumerowałam kolejny magazyn o modzie,,,Naročen sem na še eno modno revijo,Naročena sem na še eno modno revijo,,,,,7
1777,"I allowed others to make decisions on my behalf, relinquishing my own agency and personal autonomy.",,,,,,,,,,,,,"Aš leidau kitiems priimti sprendimus už mane, atsisakydamas savo veiklos ir asmeninės autonomijos","Aš leidau kitiems priimti sprendimus už mane, atsisakydama savo veiklos ir asmeninės autonomijos",,,,,,,,,,,,,,,,,"Pozwoliłem innym podejmować decyzje w moim imieniu, rezygnując z własnej sprawczości i autonomii","Pozwoliłam innym podejmować decyzje w moim imieniu, rezygnując z własnej sprawczości i autonomii",,,,,"Я позволил другим принимать решения от моего имени, отказавшись от собственной свободы действий и личной автономии","Я позволила другим принимать решения от моего имени, отказавшись от собственной свободы действий и личной автономии","Я дозволив іншим приймати рішення від мого імені, відмовившись від власної волі та особистої автономії","Я дозволила іншим приймати рішення від мого імені, відмовившись від власної волі та особистої автономії",2
1778,I used to have so many contacts in my phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,Nekoć sam imao toliko kontakata u svom telefonu,Nekoć sam imala toliko kontakata u svom telefonu,Měl jsem v telefonu tolik kontaktů,Měla jsem v telefonu tolik kontaktů,Kiedyś miałem tak wiele kontaktów w telefonie,Kiedyś miałam tak wiele kontaktów w telefonie,Kedysi som mal v telefóne toľko kontaktov,Kedysi som mala v telefóne toľko kontaktov,Včasih sem imel toliko stikov v telefonu,Včasih sem imela toliko stikov v telefonu,,,,,5
1779,My head was spinning after I finished moving the boxes.,,,,,,,,,,,,,,,,,,,,,,,,,,,Vrtjelo mi se u glavi nakon što sam završio s pomicanjem kutija,Vrtjelo mi se u glavi nakon što sam završila s pomicanjem kutija,"Po tom, co jsem dokončil stěhování krabic, se mi točila hlava","Po tom, co jsem dokončila stěhování krabic, se mi točila hlava",,,,,,,"У меня кружилась голова, когда я закончил перетаскивать коробки","У меня кружилась голова, когда я закончила перетаскивать коробки",,,6
1780,I like to talk to my staff to find out what I can improve.,,,,,,,,,,,,,,,,,,,,,,,,,,,Volim razgovarati sa svojim osobljem kako bih saznao što mogu poboljšati,Volim razgovarati sa svojim osobljem kako bih saznala što mogu poboljšati,,,,,,,"Rad se pogovarjam s svojim osebjem, da ugotovim, kaj lahko izboljšam","Rada se pogovarjam s svojim osebjem, da ugotovim, kaj lahko izboljšam",,,,,13
1781,I was nervous before giving my speech but it went well.,"Бях нервен, преди да изнеса речта си, но мина добре","Бях нервна, преди да изнеса речта си, но мина добре"," J'étais nerveux avant de prononcer mon discours, mais tout s'est bien passé. "," J'étais nerveuse avant de prononcer mon discours, mais tout s'est bien passé. ",,,,,,,,,,,,,"Eu estava nervoso antes de fazer meu discurso, mas correu bem","Eu estava nervosa antes de fazer meu discurso, mas correu bem",,,"Estaba nervioso antes de dar mi discurso, pero salió bien","Estaba nerviosa antes de dar mi discurso, pero salió bien","Estava nerviós abans de donar el meu discurs, però va anar bé","Estava nerviosa abans de donar el meu discurs, però va anar bé","Estaba nervioso antes de dar o meu discurso, pero saíu ben","Estaba nerviosa antes de dar o meu discurso, pero saíu ben",,,,,,,,,,,"Я нервничал перед выступлением, но все прошло хорошо","Я нервничала перед выступлением, но все прошло хорошо","Я нервував перед виступом, але все пройшло добре","Я нервувала перед виступом, але все пройшло добре",13
1782,"I constantly needed attention from my partner, if I was ignored for a longer period of time, it would make me angry.",,," J'avais constamment besoin de l'attention de mon partenaire. Si j'étais ignoré pendant une période prolongée, cela me mettait en colère. "," J'avais constamment besoin de l'attention de mon partenaire. Si j'étais ignorée pendant une période prolongée, cela me mettait en colère. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nenehno sem potreboval pozornost svojega partnerja, če bi me dlje časa ignorirali, bi me to razjezilo","Nenehno sem potrebovala pozornost svojega partnerja, če bi me dlje časa ignorirali, bi me to razjezilo",,,"Я постійно потребував уваги свого партнера, якби мене ігнорували протягом тривалого періоду часу, це розлютило б мене","Я постійно потребувала уваги свого партнера, якби мене ігнорували протягом тривалого періоду часу, це розлютило б мене",1
1783,I would never make a decision based on my emotions.,Никога не бих взел решение въз основа на емоциите си,Никога не бих взела решение въз основа на емоциите си,,,,,,,,,,,Aš niekada nepriimčiau sprendimo remdamasis savo emocijomis,Aš niekada nepriimčiau sprendimo remdamasi savo emocijomis,,,,,,,,,,,,,,,Nikdy bych se nerozhodl na základě svých emocí,Nikdy bych se nerozhodla na základě svých emocí,,,Nikdy by som sa nerozhodol na základe svojich emócií,Nikdy by som sa nerozhodla na základe svojich emócií,Nikoli se ne bi odločil na podlagi svojih čustev,Nikoli se ne bi odločila na podlagi svojih čustev,"Я бы никогда не принял решение, основываясь на своих эмоциях","Я бы никогда не приняла решение, основываясь на своих эмоциях",Я б ніколи не прийняв рішення на основі своїх емоцій,Я б ніколи не прийняла рішення на основі своїх емоцій,11
